t,x,y,nx,ny
0,-166.4,172.4,0,0
0.034,-165.5,171.9,0.9,-0.5
0.068,-164.7,171.9,1.7,-0.5
0.102,-164.5,172.2,1.9,-0.2
0.135,-164.3,172.5,2.1,0.1
0.169,-164.1,172.7,2.3,0.3
0.203,-164.2,173,2.2,0.6
0.237,-164,173.3,2.4,0.9
0.271,-163.1,173.8,3.3,1.4
0.305,-162.2,174,4.2,1.6
0.338,-160.7,174.6,5.7,2.2
0.372,-158.9,175.3,7.5,2.9
0.406,-157.1,176.4,9.3,4
0.44,-155.2,177.8,11.2,5.4
0.474,-154,178.8,12.4,6.4
0.508,-153.4,179.4,13,7
0.541,-152.9,180.1,13.5,7.7
0.575,-152.9,180.2,13.5,7.8
0.609,-152.5,180,13.9,7.6
0.643,-151.3,179.2,15.1,6.8
0.677,-148.2,177.7,18.2,5.3
0.711,-144.6,176.6,21.8,4.2
0.744,-140.7,175.7,25.7,3.3
0.778,-136.4,175.4,30,3
0.812,-132.7,174.4,33.7,2
0.846,-130.3,173.1,36.1,0.7
0.88,-128.4,171.3,38,-1.1
0.914,-127.9,168.8,38.5,-3.6
0.947,-129.8,165.6,36.6,-6.8
0.981,-133.7,161.6,32.7,-10.8
1.015,-139.8,156.4,26.6,-16
1.049,-146.5,151.1,19.9,-21.3
1.083,-148.7,149.7,17.7,-22.7
1.117,-149.4,148.8,17,-23.6
1.15,-149.3,148.2,17.1,-24.2
1.184,-149.2,148,17.2,-24.4
1.218,-149,147.9,17.4,-24.5
1.252,-148.9,147.9,17.5,-24.5
1.286,-148.3,148.1,18.1,-24.3
1.32,-147.7,148.4,18.7,-24
1.353,-146.3,149.2,20.1,-23.2
1.387,-144.9,150,21.5,-22.4
1.421,-143.2,151.3,23.2,-21.1
1.455,-141.4,152.6,25,-19.8
1.489,-139.8,154.3,26.6,-18.1
1.523,-138.4,155.7,28,-16.7
1.556,-137.7,156.8,28.7,-15.6
1.59,-137,157.5,29.4,-14.9
1.624,-136.4,158.3,30,-14.1
1.658,-136.3,158.6,30.1,-13.8
1.692,-136.1,158.4,30.3,-14
1.726,-135.1,158.3,31.3,-14.1
1.759,-132.5,157.9,33.9,-14.5
1.793,-128.5,158,37.9,-14.4
1.827,-124,157.9,42.4,-14.5
1.861,-120.3,158.3,46.1,-14.1
1.895,-118.1,158.2,48.3,-14.2
1.929,-117.2,157.1,49.2,-15.3
1.962,-116.5,155.4,49.9,-17
1.996,-116.7,153.1,49.7,-19.3
2.03,-118.6,150,47.8,-22.4
2.064,-122.2,146,44.2,-26.4
2.098,-127.8,140.8,38.6,-31.6
2.132,-134.3,134.8,32.1,-37.6
2.165,-137.2,132.6,29.2,-39.8
2.199,-137.9,131.9,28.5,-40.5
2.233,-137.3,131.4,29.1,-41
2.267,-137,131.1,29.4,-41.3
2.301,-136.9,131,29.5,-41.4
2.335,-136.6,131,29.8,-41.4
2.369,-136.3,131.1,30.1,-41.3
2.402,-135.8,131.1,30.6,-41.3
2.436,-134.9,131.8,31.5,-40.6
2.47,-132.4,133.6,34,-38.8
2.504,-130.7,134.9,35.7,-37.5
2.538,-129,136.4,37.4,-36
2.572,-127.4,138.3,39,-34.1
2.605,-126.4,139.8,40,-32.6
2.639,-125.7,140.7,40.7,-31.7
2.673,-125.2,141.4,41.2,-31
2.707,-124.8,142.2,41.6,-30.2
2.741,-124.8,142.4,41.6,-30
2.775,-124.6,142.3,41.8,-30.1
2.808,-123.1,142.3,43.3,-30.1
2.842,-119.8,142.1,46.6,-30.3
2.876,-115.7,142.5,50.7,-29.9
2.91,-111.4,143.1,55,-29.3
2.944,-108.6,143.8,57.8,-28.6
2.978,-107,143.6,59.4,-28.8
3.011,-106.2,142.2,60.2,-30.2
3.045,-105.6,140.3,60.8,-32.1
3.079,-105.9,138.2,60.5,-34.2
3.113,-108,134.6,58.4,-37.8
3.147,-112,129.9,54.4,-42.5
3.181,-117.6,123.7,48.8,-48.7
3.214,-123.1,117.8,43.3,-54.6
3.248,-124.5,116.5,41.9,-55.9
3.282,-124.6,115.7,41.8,-56.7
3.316,-124,115.5,42.4,-56.9
3.35,-123.5,115.6,42.9,-56.8
3.384,-123,115.7,43.4,-56.7
