t,x,y,nx,ny
0,-164.3,172.4,0,0
0.034,-164.6,172.2,-0.3,-0.2
0.068,-163.9,171.7,0.4,-0.7
0.102,-162.9,171.9,1.4,-0.5
0.135,-162.5,172.3,1.8,-0.1
0.169,-162.1,172.7,2.2,0.3
0.203,-161.4,173,2.9,0.6
0.237,-160.9,173.4,3.4,1
0.271,-160.6,173.9,3.7,1.5
0.305,-159.9,174.4,4.4,2
0.338,-158.6,174.8,5.7,2.4
0.372,-157.1,175.8,7.2,3.4
0.406,-155.5,176.9,8.8,4.5
0.44,-153.7,178.3,10.6,5.9
0.474,-152,179.5,12.3,7.1
0.508,-150.3,180.9,14,8.5
0.541,-149.7,181.8,14.6,9.4
0.575,-149.3,182,15,9.6
0.609,-149.1,182.4,15.2,10
0.643,-148.9,182.3,15.4,9.9
0.677,-148,181.9,16.3,9.5
0.711,-145.2,180.9,19.1,8.5
0.745,-141.8,180,22.5,7.6
0.778,-137.7,178.6,26.6,6.2
0.812,-132.9,178.4,31.4,6
0.846,-129.4,177.3,34.9,4.9
0.88,-127.1,175.8,37.2,3.4
0.914,-124.9,173.8,39.4,1.4
0.948,-123.1,170.9,41.2,-1.5
0.981,-123,166.9,41.3,-5.5
1.015,-125.8,161.6,38.5,-10.8
1.049,-131,154.9,33.3,-17.5
1.083,-137,146.9,27.3,-25.5
1.117,-138.9,144.3,25.4,-28.1
1.151,-139.7,142.2,24.6,-30.2
1.184,-139.4,141.7,24.9,-30.7
1.218,-139.1,141.4,25.2,-31
1.252,-138.8,141.4,25.5,-31
1.286,-138.2,141.5,26.1,-30.9
1.32,-137.7,141.9,26.6,-30.5
1.354,-136.9,142.6,27.4,-29.8
1.387,-136,143.4,28.3,-29
1.421,-134.8,144.1,29.5,-28.3
1.455,-133.4,145,30.9,-27.4
1.489,-132,146,32.3,-26.4
1.523,-130.5,147.3,33.8,-25.1
1.557,-128.9,149,35.4,-23.4
1.591,-127.4,150.7,36.9,-21.7
1.624,-126.8,151.9,37.5,-20.5
1.658,-126.2,152.7,38.1,-19.7
1.692,-125.7,153.5,38.6,-18.9
1.726,-125.6,153.6,38.7,-18.8
1.76,-125.3,153.5,39,-18.9
1.794,-123.9,153.3,40.4,-19.1
1.827,-120.7,153,43.6,-19.4
1.861,-116.5,152.9,47.8,-19.5
1.895,-112.1,153.3,52.2,-19.1
1.929,-108.8,153.7,55.5,-18.7
1.963,-106.8,153.6,57.5,-18.8
1.997,-104.5,150,59.8,-22.4
2.03,-104.8,147.1,59.5,-25.3
2.064,-107.2,143.1,57.1,-29.3
2.098,-111.6,137.5,52.7,-34.9
2.132,-117.4,130.5,46.9,-41.9
2.166,-121.7,125.7,42.6,-46.7
2.2,-122.6,124.6,41.7,-47.8
2.234,-122.2,124.1,42.1,-48.3
2.267,-121.1,124,43.2,-48.4
2.301,-120.6,124.2,43.7,-48.2
2.335,-120.5,124.3,43.8,-48.1
2.369,-119.7,124.5,44.6,-47.9
