t,x,y,nx,ny
0,-3.91E-02,-90.38,0.00E+00,0
0.033,-0.387,-91.79,-3.48E-01,-1.41
0.067,-0.822,-93.46,-7.83E-01,-3.08
0.1,-1.319,-95.06,-1.28E+00,-4.68
0.133,-1.706,-96.41,-1.67E+00,-6.03
0.167,-2.086,-97.66,-2.05E+00,-7.28
0.2,-2.889,-99.52,-2.85E+00,-9.14
0.234,-3.717,-100.8,-3.68E+00,-10.42
0.267,-4.817,-102,-4.78E+00,-11.62
0.3,-6.176,-102.7,-6.14E+00,-12.32
0.334,-7.898,-103.1,-7.86E+00,-12.72
0.367,-10.23,-104.1,-1.02E+01,-13.72
0.4,-14.78,-103.2,-1.47E+01,-12.82
0.434,-14.65,-103.3,-1.46E+01,-12.92
0.467,-12.37,-104.4,-1.23E+01,-14.02
0.5,-10.25,-104.6,-1.02E+01,-14.22
0.534,-9.126,-104.2,-9.09E+00,-13.82
0.567,-8.053,-103.4,-8.01E+00,-13.02
0.6,-6.253,-103.1,-6.21E+00,-12.72
0.634,-4.363,-102.2,-4.32E+00,-11.82
0.667,-2.621,-101.1,-2.58E+00,-10.72
0.701,-0.614,-100.2,-5.75E-01,-9.82
0.734,0.912,-99.09,9.51E-01,-8.71
0.767,2.332,-98.08,2.37E+00,-7.7
0.801,2.912,-98.25,2.95E+00,-7.87
0.834,2.112,-98.69,2.15E+00,-8.31
0.867,0.619,-100.1,6.58E-01,-9.72
0.901,-1.025,-101.5,-9.86E-01,-11.12
0.934,-2.62,-103.5,-2.58E+00,-13.12
0.967,-4.325,-105.4,-4.29E+00,-15.02
1.001,-6.546,-107,-6.51E+00,-16.62
1.034,-9.014,-108.9,-8.97E+00,-18.52
1.067,-10.55,-110.2,-1.05E+01,-19.82
1.101,-12.05,-111.3,-1.20E+01,-20.92
1.134,-12.84,-112.1,-1.28E+01,-21.72
1.168,-13.74,-112.6,-1.37E+01,-22.22
1.201,-14.32,-113.1,-1.43E+01,-22.72
1.234,-14.76,-113.3,-1.47E+01,-22.92
1.268,-15.09,-113.2,-1.51E+01,-22.82
1.301,-15.5,-113.3,-1.55E+01,-22.92
1.334,-15.52,-113.3,-1.55E+01,-22.92
1.368,-13.97,-114,-1.39E+01,-23.62
1.401,-12.22,-114.3,-1.22E+01,-23.92
1.434,-11.02,-113.9,-1.10E+01,-23.52
1.468,-9.807,-113.5,-9.77E+00,-23.12
1.501,-8.063,-113.3,-8.02E+00,-22.92
1.534,-6.138,-112.6,-6.10E+00,-22.22
1.568,-4.277,-111.8,-4.24E+00,-21.42
1.601,-2.622,-111.4,-2.58E+00,-21.02
1.635,-0.898,-110.7,-8.59E-01,-20.32
1.668,0.288,-110.2,3.27E-01,-19.82
1.701,0.714,-110.4,7.53E-01,-20.02
